Latitude,Longitude,Community Areas,Area(unit)
41.863550399999994,-87.7104648,North Lawndale,89487422.0244
41.737202,-87.55320999999999,South Chicago,93272185.0092
41.801255700000006,-87.6696672,New City,134636963.254
41.924701,-87.734324,Hermosa,32602059.4055
41.8884889,-87.62940640000001,River North,38766442.5194
41.775490999999995,-87.68061800000001,Chicago Lawn,98279465.1151
41.726436799999995,-87.5474735,South Chicago,93272185.0092
41.670415999999996,-87.641284,West Pullman,99365198.0822
41.8070713,-87.6734562,New City,134636963.254
41.8749861,-87.74510749999999,Austin,170037750.826
41.751448700000005,-87.5799152,South Chicago,93272185.0092
41.8949171,-87.75805859999998,Austin,170037750.826
41.854561700000005,-87.72485400000001,North Lawndale,89487422.0244
41.918431,-87.719422,Logan Square,71256806.5518
41.8246692,-87.6923187,Brighton Park,75892790.3114
41.879598,-87.75785400000001,Austin,170037750.826
41.78704570000001,-87.64254190000001,Englewood,173600015.009
41.821477,-87.702198,Brighton Park,75892790.3114
42.004005299999996,-87.6696973,Rogers Park,51259902.4506
41.8183136,-87.7435779,Garfield Ridge,117890778.429
41.907045200000006,-87.70938840000001,Humboldt Park,125010425.593
41.8983816,-87.77166779999999,Austin,170037750.826
41.694376299999995,-87.65215140000001,Morgan Park,91877340.6988
41.7336789,-87.5527511,South Chicago,93272185.0092
41.7217792,-87.6255409,Roseland,134313706.73
41.794824,-87.630957,Fuller Park,19916704.8692
41.7789927,-87.7007168,Chicago Lawn,98279465.1151
41.896871000000004,-87.757214,Austin,170037750.826
41.801016,-87.670682,New City,134636963.254
41.8955029,-87.7114398,Humboldt Park,125010425.593
41.881017,-87.735764,Garfield Park,89976069.5947
41.9009418,-87.71826800000001,Humboldt Park,125010425.593
41.895456599999996,-87.716328,Humboldt Park,125010425.593
41.80590720000001,-87.60429470000001,Kenwood,29071741.9283
41.7822052,-87.60594820000001,Woodlawn,40515739.083
41.8797736,-87.7232032,Garfield Park,89976069.5947
41.874714600000004,-87.76462430000001,Austin,170037750.826
41.876446,-87.6317545,Loop,31485185.0318
41.7797047,-87.61564150000001,Grand Crossing,98853167.7093
41.8855436,-87.711161,Garfield Park,89976069.5947
41.7561054,-87.5570869,South Shore,81812716.3904
41.9038402,-87.644194,River North,38766442.5194
41.904680799999994,-87.6432667,River North,38766442.5194
41.9000249,-87.6416823,River North,38766442.5194
41.8991436,-87.64001640000001,River North,38766442.5194
41.904272399999996,-87.64779109999999,River North,38766442.5194
41.6573104,-87.6063532,Riverdale,98389497.4143
41.8660838,-87.66132259999999,"Little Italy, UIC",71376244.1225
41.8641724,-87.6589312,"Little Italy, UIC",71376244.1225
41.8661059,-87.66400159999999,"Little Italy, UIC",71376244.1225
41.865239700000004,-87.6573377,"Little Italy, UIC",71376244.1225
41.8214719,-87.6199396,Grand Boulevard,48492503.1554
41.883950399999996,-87.6815927,United Center,32520512.7053
41.9752539,-87.6577505,Uptown,65095642.836
41.815313,-87.74297,Garfield Ridge,117890778.429
41.8488874,-87.628326,Near South Side,34252582.7003
41.8504287,-87.62705190000001,Near South Side,34252582.7003
41.6578047,-87.60342209999999,Riverdale,98389497.4143
41.6573089,-87.6059609,Riverdale,98389497.4143
41.84093,-87.650248,Bridgeport,58291519.276
41.813047,-87.7459028,Garfield Ridge,117890778.429
41.844441700000004,-87.6267156,Douglas,46004621.137
41.844179100000005,-87.62886,Douglas,46004621.137
41.9065206,-87.63846170000001,Old Town,19847998.9611
41.815589700000004,-87.6895377,Brighton Park,75892790.3114
41.8568,-87.6640199,Lower West Side,81550723.8231
41.809671200000004,-87.6211753,Grand Boulevard,48492503.1554
41.721728000000006,-87.6279493,Roseland,134313706.73
41.7337695,-87.5457441,South Chicago,93272185.0092
41.787582,-87.62352790000001,Washington Park,42373881.4842
41.8842374,-87.76501929999999,Austin,170037750.826
41.774046999999996,-87.674123,Englewood,173600015.009
41.725552,-87.59711800000001,Burnside,16995983.2737
41.775931,-87.637451,Englewood,173600015.009
41.758973100000006,-87.5651709,South Shore,81812716.3904
41.9095365,-87.7582138,Austin,170037750.826
41.8589104,-87.7188738,North Lawndale,89487422.0244
41.8549549,-87.71721,North Lawndale,89487422.0244
41.905043,-87.69425799999999,Humboldt Park,125010425.593
41.750330100000006,-87.66563590000001,Auburn Gresham,105065353.602
41.9092682,-87.7553989,Austin,170037750.826
41.882498999999996,-87.76372099999999,Austin,170037750.826
41.857076899999996,-87.6554699,Lower West Side,81550723.8231
41.797543,-87.663103,New City,134636963.254
41.707375899999995,-87.628141,Roseland,134313706.73
41.7342609,-87.631536,Roseland,134313706.73
42.019158000000004,-87.680033,Rogers Park,51259902.4506
41.8717593,-87.698724,Garfield Park,89976069.5947
41.7646299,-87.6881476,Chicago Lawn,98279465.1151
41.73592539999999,-87.65275679999999,Auburn Gresham,105065353.602
41.79087620000001,-87.6523185,Englewood,173600015.009
41.74129,-87.54723299999999,South Chicago,93272185.0092
41.7925107,-87.6438722,Englewood,173600015.009
41.973049100000004,-87.65790340000001,Uptown,65095642.836
41.9900701,-87.6578767,Edgewater,38865397.6718
41.75041289999999,-87.6597248,Auburn Gresham,105065353.602
41.766759,-87.672014,Englewood,173600015.009
41.882815,-87.735744,Garfield Park,89976069.5947
41.770252,-87.66308599999999,Englewood,173600015.009
41.721916,-87.5364901,East Side,83241728.0493
41.717132899999996,-87.554723,South Deering,303797059.66
41.88921679999999,-87.7529647,Austin,170037750.826
41.651971,-87.546265,Hegewisch,145965741.437
41.700848,-87.560424,South Deering,303797059.66
41.7942968,-87.6742877,New City,134636963.254
41.895251,-87.746162,Austin,170037750.826
41.9168751,-87.72791579999999,Hermosa,32602059.4055
41.7517325,-87.5638319,South Chicago,93272185.0092
41.851033799999996,-87.62775400000001,Near South Side,34252582.7003
41.807474,-87.60468,Kenwood,29071741.9283
41.79962020000001,-87.6039048,Hyde Park,38859161.8437
41.98988920000001,-87.6993591,West Ridge,98429094.8621
41.99805429999999,-87.6707045,Edgewater,38865397.6718
41.911245,-87.773121,Austin,170037750.826
41.878370399999994,-87.76141870000001,Austin,170037750.826
41.880101,-87.749851,Austin,170037750.826
41.910555,-87.74549499999999,Austin,170037750.826
41.8839129,-87.68017979999999,United Center,32520512.7053
41.7593544,-87.5617363,South Shore,81812716.3904
